,preco,vendido,idade_do_modelo,km_por_ano
0,30941.02,1,18,35085.22134
1,40557.96,1,20,12622.05362
2,89627.5,0,12,11440.79806
3,95276.14,0,3,43167.32682
4,117384.68,1,4,12770.1129
5,55405.26,1,11,23594.53374
6,93415.61,1,16,16077.3066
7,65265.09,0,10,18666.73466
8,43917.53,1,19,12607.56956
9,107860.41,1,15,24000.08742
10,75668.42,0,2,22635.3671
11,97411.7,0,17,24292.9873
12,91062.94,0,9,26608.82756
13,73156.01,0,11,35402.26132
14,82622.46,1,13,11479.42222
15,64115.99,1,16,20041.11102
16,48974.9,1,12,15990.40224
17,28007.36,1,7,35489.16568
18,94217.51,0,3,22680.42862
19,111136.8,1,18,25623.91148
20,37384.17,1,4,32830.536
21,36271.82,1,6,15053.76636
22,82597.52,0,19,32782.2558
23,81831.93,0,16,12515.83718
24,92271.67,0,5,25044.54908
25,55734.53,1,16,23444.86512
26,67789.32,1,14,19569.5744
27,71840.26,0,19,19941.33194
28,25413.75,1,11,20718.64316
29,64497.7,0,14,17731.70812
30,76894.04,0,11,26441.4562
31,48359.62,1,5,32661.5553
32,56539.06,0,16,27020.8186
33,81757.83,0,12,20063.641779999998
34,80965.58,0,18,22527.54132
35,82776.88,0,20,43336.30752
36,61589.78,0,15,25734.95594
37,66655.85,0,12,24746.82118
38,85107.04,0,7,27941.36108
39,113990.61,0,11,12350.07516
40,29338.23,1,16,34208.13104
41,57463.74,0,15,23114.95042
42,41296.05,0,10,19485.88872
43,96446.05,0,17,38476.10072
44,53993.85,1,17,18381.88148
45,64387.6,0,10,23609.0178
46,116393.77,0,10,21034.0738
47,75332.79,0,3,14099.42774
48,53268.18,0,18,41796.16914
49,102184.72,0,18,18414.06828
50,107433.92,0,5,27249.34488
51,93167.18,0,12,25395.3852
52,88662.57,0,10,28092.63904
53,25889.56,1,12,24281.72192
54,70653.63,0,10,31240.50808
55,76666.68,0,16,24846.60026
56,106302.54,1,19,25839.56304
57,43890.33,1,12,39876.22652
58,62553.77,1,20,20731.51788
59,46776.67,1,10,34787.49344
60,34985.57,1,18,25089.6106
61,80251.29,0,5,28380.7109
62,54196.09,1,20,14559.69898
63,16736.17,1,17,36490.17516
64,45467.13,1,14,17884.59542
65,42956.65,1,17,16159.38294
66,85338.55,1,11,8986.55456
67,12017.79,1,19,24404.03176
68,105524.5,1,18,18682.82806
69,49745.4,1,19,33722.11036
70,95592.87,0,19,27373.26406
71,86444.77,1,8,18344.86666
72,33596.02,1,18,16669.54372
73,75782.68,0,6,38579.09848
74,84454.22,0,4,17593.30488
75,81748.68,0,12,21869.32126
76,18576.43,1,14,14786.61592
77,64773.76,0,8,18061.62282
